iter	Logloss
457	0.1593126535
458	0.1592314086
459	0.1591410568
460	0.1590483152
461	0.158976991
462	0.158870556
463	0.1587365922
464	0.1586199005
465	0.1585102945
466	0.1583641023
467	0.1582165245
468	0.1580709838
469	0.1579785987
470	0.1578287732
471	0.1577068673
472	0.157596129
473	0.1575113775
474	0.1574088656
475	0.1572602995
476	0.1571454113
477	0.1570144798
478	0.156965365
479	0.1568846
480	0.1568345205
481	0.1567710822
482	0.1566679136
483	0.156528324
484	0.1564216441
485	0.1562859536
486	0.1562051253
487	0.1561479133
488	0.1560503034
489	0.1559230517
490	0.1558320306
491	0.1557630873
492	0.1556454136
493	0.1555575706
494	0.1554311731
495	0.155260166
496	0.1551219786
497	0.1550683285
498	0.1549655227
499	0.1548584487
500	0.1547365044
501	0.1546352991
502	0.1545379583
503	0.1544223012
504	0.1543102974
505	0.154196997
506	0.1541544275
507	0.1540751466
508	0.1539264506
509	0.1537902537
510	0.1536893335
511	0.1536173775
512	0.1535058546
513	0.1533878301
514	0.153293791
515	0.1532411633
516	0.1531590988
517	0.1530863473
518	0.1529452127
519	0.1528229931
520	0.1527468391
521	0.1526135602
522	0.1525250858
523	0.1524411985
524	0.1523252122
525	0.1522232695
526	0.1520872422
527	0.1519499209
528	0.1518968628
529	0.1518288798
530	0.1516865388
531	0.1516169026
532	0.1515035928
533	0.1514062784
534	0.1512622055
535	0.1511559076
536	0.1511055972
537	0.1510297804
538	0.1509502999
539	0.1508013969
540	0.1507324251
541	0.150664712
542	0.150587115
543	0.1504628868
544	0.1503560522
545	0.1502777518
546	0.1501698975
547	0.1500875517
548	0.1499836141
549	0.1498800955
550	0.1497267784
551	0.1496565575
552	0.1495086744
553	0.149399919
554	0.1493177069
555	0.1491857395
556	0.1490977348
557	0.1489976772
558	0.1489278468
559	0.1488183879
560	0.1487609499
561	0.148673363
562	0.1485978876
563	0.1484857057
564	0.1483610797
565	0.1482228495
566	0.1480720922
567	0.1479904013
568	0.1478839227
569	0.1477870357
570	0.1477563965
571	0.147669949
572	0.1475985238
573	0.1475200588
574	0.1474256312
575	0.1473002128
576	0.1471791493
577	0.1470998191
578	0.1470211199
579	0.1469426601
580	0.1468423159
581	0.1467377293
582	0.1466620946
583	0.1465712057
584	0.1464848049
585	0.1464101231
586	0.146290932
587	0.146226623
588	0.1460892336
589	0.1459993168
590	0.1459380136
591	0.1458839718
592	0.1458093539
593	0.1457643937
594	0.1456884259
595	0.1456435496
596	0.145539006
597	0.145474823
598	0.1454148123
599	0.1453033996
600	0.1451674098
601	0.1450597761
602	0.1449834003
603	0.1448819266
604	0.1447782384
605	0.1446300104
606	0.1445143046
607	0.1444581489
608	0.1444152157
609	0.1443620709
610	0.1442620259
611	0.1441785503
612	0.1441073884
613	0.1440018391
614	0.1439231967
615	0.1438937281
616	0.1438165285
617	0.1437456728
618	0.1437041847
619	0.1436064629
620	0.1434924821
621	0.1434462208
622	0.1433258924
623	0.143240274
624	0.1431152495
625	0.1429704113
626	0.1428967011
627	0.1427712403
628	0.1426900808
629	0.1426111931
630	0.1425768109
631	0.142457769
632	0.1423924655
633	0.1423392533
634	0.1422671298
635	0.1421240786
636	0.1420431527
637	0.1419360968
638	0.1418628103
639	0.1416917243
640	0.1416008039
641	0.1415168421
642	0.1413936465
643	0.1412703956
644	0.1412046583
645	0.1411507367
646	0.1410684473
647	0.1410103631
648	0.1408855308
649	0.1407922695
650	0.1406817435
651	0.140623283
652	0.1405010243
653	0.1404380847
654	0.1403824553
655	0.1403088223
656	0.1402437878
657	0.1401720318
658	0.1401114574
659	0.1400351095
660	0.1399901121
661	0.1399706309
662	0.1399040716
663	0.1398276927
664	0.1397544128
665	0.1396669982
666	0.1395744548
667	0.1395062177
668	0.1394085096
669	0.1393150305
670	0.139210511
671	0.1391494057
672	0.1390608627
673	0.1389639949
674	0.1388611065
675	0.138762166
676	0.1387188917
677	0.1386260028
678	0.1385883302
679	0.1385510765
680	0.1384833328
681	0.1384138804
682	0.1383318635
683	0.1382698524
684	0.1382231791
685	0.1381012413
686	0.1380229152
687	0.1379489918
688	0.1378199671
689	0.1376968479
690	0.1376325967
691	0.1375959252
692	0.1375036608
693	0.1374239518
694	0.1373470336
695	0.1372280269
696	0.1371722879
697	0.1371147783
698	0.1370293546
699	0.1369904278
700	0.1368625986
701	0.1368004746
702	0.1367085789
703	0.1366463539
704	0.1366012565
705	0.136550862
706	0.1365258171
707	0.136431074
708	0.1363626121
709	0.1362814944
710	0.1361704582
711	0.1360892797
712	0.1360246999
713	0.1359883367
714	0.1358671644
715	0.1357944835
716	0.1357099262
717	0.1356632241
718	0.1356068225
719	0.1355574943
720	0.13545135
721	0.1353668648
722	0.1353432932
723	0.1352791986
724	0.1351706156
725	0.1350988736
726	0.1350570124
727	0.1350028059
728	0.1349594098
729	0.1349336942
730	0.1348218989
731	0.1347192096
732	0.1346706826
733	0.1346129727
734	0.1345674609
735	0.1344722024
736	0.1344145398
737	0.1343547933
738	0.134262725
739	0.1341902034
740	0.1341339307
741	0.1340043297
742	0.1338942268
743	0.1338082462
744	0.1337064245
745	0.1336308944
746	0.1335971989
747	0.133466058
748	0.133318955
749	0.1332519348
750	0.1332171208
751	0.1331099449
752	0.1330481728
753	0.13299108
754	0.1328458537
755	0.1327772589
756	0.1327092233
757	0.1326004691
758	0.1325396359
759	0.1324396725
760	0.1323715768
761	0.1322685234
762	0.1320719656
763	0.1319931925
